sentence,sarcasm_score
Oh you fixed it? I barely even noticed it was broken in the first place, 4
Well that was certainly a productive meeting, 4
I'm so glad you shared that incredibly obvious observation, 3
You're right I totally forgot that was an option,  3
I'm just thrilled to be working late again, 5
That's a fantastic idea why didn't anyone else think of it?, 4
I'm sure your terrible driving is just a unique personal style, 4
My day just wouldn't be complete without this minor inconvenience, 5
Wow you're really good at pointing out things I already know, 3
I had no idea you were such a genius Please enlighten me further, 5
Thanks for the profound insight it really cleared things up, 4
I'm perfectly fine just bleeding internally, 5
Oh is that a new concept? I've never heard of it before, 4
I'm always eager to hear about your latest accomplishments, 3
That's exactly what I needed right now, 5
I'm so glad we could have this meaningful conversation, 4
Of course because things always go according to plan, 4
I'm just overflowing with excitement, 5
What a brilliant solution to a problem that didn't exist, 5
I must have misheard you; I thought you said something intelligent, 5
Please don't rush on my account, 3
You're truly a master of understatement, 4
I can practically feel the enthusiasm radiating from you, 4
I appreciate your valuable contribution to the discussion, 3
Clearly you've put a lot of thought into that, 4
I'm sure that will be incredibly helpful, 3
Well isn't that just special?, 4
I had no idea you were capable of such feats of logic, 5
It's truly a pleasure to be graced by your presence, 4
I'm so relieved you're here to explain the obvious to me, 4
I'm feeling very bad nowsdays, 0
